Distribuidora;Municípios;Quantidade GD;UCs recebendo crédito;Potência instalada;ID Labren;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Anual;LABREN - Longitude;LABREN - Latitude;GD I - TIR;GD I - VPL;GD I - PB SIMPLES;GD I - PB DESC;GD II - TIR;GD II - VPL;GD II - PB SIMPLES;GD II - PB DESC;SENS - TIR;SENS - VPL;SENS - PB SIMPLES;SENS - PB DESC;DisCo
ELETROPAULO;São Paulo;17.535;21.997;158.277;5.728;4,711;5,239;4,889;4,747;4,235;4,111;4,121;5,02;4,563;4,661;4,712;5,048;4,671;-466.403;-235.339;43,0%;27.111,4;2,9;3,6;39,1%;23.592,0;3,2;3,9;41,5%;26.025,6;3,0;3,8;1,0
ELETROPAULO;Santana de Parnaíba;2.636;2.656;21.350;5.831;4,767;5,315;5,004;4,960;4,401;4,271;4,302;5,250;4,728;4,804;4,854;5,148;4,817;-469.226;-23.443;44,5%;27.526,3;2,8;3,5;40,4%;24.005,9;3,1;3,8;43,0%;26.442,3;2,9;3,6;1,0
ELETROPAULO;Cotia;1.842;1.867;14.614;5.619;4,818;5,304;4,995;4,856;4,270;4,148;4,170;5,094;4,582;4,666;4,801;5,107;4,734;-469.194;-236.027;43,6%;27.293,5;2,9;3,5;39,7%;23.774,8;3,1;3,9;42,1%;26.202,3;3,0;3,7;1,0
ELETROPAULO;São Bernardo do Campo;1.752;1.775;12.509;5.518;4,604;5,168;4,778;4,669;4,131;3,987;4,046;4,825;4,392;4,421;4,606;4,951;4,548;-46.565;-236.919;41,7%;26.739,8;3,0;3,7;37,9%;23.223,0;3,3;4,1;40,4%;25.655,7;3,1;3,8;1,0
ELETROPAULO;Barueri;1.137;1.148;11.793;5.726;4,760;5,318;4,961;4,877;4,319;4,158;4,216;5,127;4,645;4,707;4,812;5,128;4,752;-468.794;-235.062;43,8%;27.344,7;2,9;3,5;39,8%;23.824,5;3,1;3,8;42,3%;26.256,9;3,0;3,7;1,0
ELETROPAULO;Santo André;1.683;1.709;11.577;5.518;4,604;5,168;4,778;4,669;4,131;3,987;4,046;4,825;4,392;4,421;4,606;4,951;4,548;-465.436;-236.742;41,7%;26.739,8;3,0;3,7;37,9%;23.223,0;3,3;4,1;40,4%;25.655,7;3,1;3,8;1,0
ELETROPAULO;Osasco;990;997;8.823;5.727;4,735;5,286;4,916;4,826;4,287;4,148;4,186;5,099;4,589;4,672;4,760;5,108;4,718;-46.792;-235.329;43,4%;27.242,2;2,9;3,6;39,5%;23.721,6;3,1;3,9;42,0%;26.152,8;3,0;3,7;1,0
ELETROPAULO;Carapicuíba;655;663;5.142;5.726;4,760;5,318;4,961;4,877;4,319;4,158;4,216;5,127;4,645;4,707;4,812;5,128;4,752;-468.411;-235.239;43,8%;27.344,7;2,9;3,5;39,8%;23.824,5;3,1;3,8;42,3%;26.256,9;3,0;3,7;1,0
ELETROPAULO;Cajamar;452;452;4.442;5.832;4,758;5,308;4,971;4,927;4,356;4,247;4,283;5,200;4,676;4,747;4,780;5,100;4,779;-468.785;-233.555;44,1%;27.425,7;2,9;3,5;40,1%;23.905,5;3,1;3,8;42,6%;26.343,7;3,0;3,6;1,0
ELETROPAULO;São Caetano do Sul;549;563;4.061;5.623;4,683;5,203;4,859;4,740;4,199;4,094;4,140;4,980;4,499;4,592;4,692;5,017;4,641;-465.552;-236.233;42,7%;27.025,2;3,0;3,6;38,8%;23.505,8;3,2;4,0;41,3%;25.941,1;3,1;3,8;1,0
ELETROPAULO;Vargem Grande Paulista;532;539;4.053;5.618;4,769;5,305;5,041;4,912;4,315;4,241;4,242;5,182;4,699;4,718;4,845;5,119;4,782;-470.224;-235.998;44,1%;27.431,2;2,9;3,5;40,1%;23.911,9;3,1;3,8;42,6%;26.343,0;3,0;3,6;1,0
ELETROPAULO;Mauá;472;482;3.878;5.519;4,539;5,162;4,723;4,605;4,076;3,916;3,993;4,737;4,311;4,359;4,535;4,898;4,488;-464.617;-236.682;41,1%;26.548,1;3,1;3,8;37,4%;23.032,9;3,3;4,2;39,8%;25.459,2;3,2;3,9;1,0
ELETROPAULO;Itapecerica da Serra;351;363;3.198;5.515;4,729;5,252;4,864;4,775;4,148;4,038;4,062;4,955;4,431;4,478;4,666;5,008;4,617;-468.576;-237.166;42,4%;26.949,1;3,0;3,7;38,6%;23.431,2;3,2;4,0;41,0%;25.856,4;3,1;3,8;1,0
ELETROPAULO;Embu das Artes;346;347;2.972;5.620;4,815;5,315;4,961;4,845;4,258;4,108;4,146;5,058;4,576;4,665;4,805;5,117;4,722;-468.583;-236.442;43,5%;27.257,6;2,9;3,6;39,5%;23.739,3;3,1;3,9;42,0%;26.167,9;3,0;3,7;1,0
ELETROPAULO;Ribeirão Pires;479;500;2.863;5.519;4,539;5,162;4,723;4,605;4,076;3,916;3,993;4,737;4,311;4,359;4,535;4,898;4,488;-464.062;-237.071;41,1%;26.548,1;3,1;3,8;37,4%;23.032,9;3,3;4,2;39,8%;25.459,2;3,2;3,9;1,0
ELETROPAULO;Jandira;401;405;2.804;5.725;4,798;5,309;4,996;4,936;4,372;4,219;4,245;5,169;4,683;4,780;4,857;5,129;4,791;-469.027;-23.528;44,2%;27.453,8;2,9;3,5;40,2%;23.935,9;3,1;3,8;42,7%;26.375,4;3,0;3,6;1,0
ELETROPAULO;Diadema;272;280;2.654;5.517;4,735;5,191;4,820;4,747;4,162;4,010;4,074;4,872;4,402;4,451;4,683;5,005;4,596;-466.209;-236.818;42,2%;26.884,1;3,0;3,7;38,4%;23.368,3;3,2;4,0;40,8%;25.801,2;3,1;3,8;1,0
ELETROPAULO;Itapevi;314;321;2.394;5.725;4,798;5,309;4,996;4,936;4,372;4,219;4,245;5,169;4,683;4,780;4,857;5,129;4,791;-469.331;-235.493;44,2%;27.453,8;2,9;3,5;40,2%;23.935,9;3,1;3,8;42,7%;26.375,4;3,0;3,6;1,0
ELETROPAULO;Taboão da Serra;258;259;1.902;5.621;4,767;5,281;4,922;4,806;4,255;4,114;4,143;5,034;4,552;4,645;4,783;5,104;4,701;-467.534;-236.028;43,2%;27.189,7;2,9;3,6;39,3%;23.671,8;3,2;3,9;41,8%;26.103,2;3,0;3,7;1,0
ELETROPAULO;Embu-Guaçu;182;182;1.680;5.410;4,649;5,121;4,715;4,648;4,073;3,974;4,001;4,829;4,275;4,239;4,488;4,844;4,488;-46.814;-238.302;41,1%;26.554,3;3,1;3,8;37,4%;23.037,3;3,3;4,2;39,8%;25.468,6;3,2;3,9;1,0
